SampleID	Soil_sample	Treatment	Tillage	Maize_development_stage
CAFBS_18	bulksoil	AC	NoTill	Flowering
CAFBS_59	bulksoil	AC	NoTill	Flowering
CAFRh_18	Rhizosphere	AC	NoTill	Flowering
CAFRh_59	Rhizosphere	AC	NoTill	Flowering
CAGBS_18	bulksoil	AC	NoTill	Grainfilling
CAGBS_59	bulksoil	AC	NoTill	Grainfilling
CAGRh_18	Rhizosphere	AC	NoTill	Grainfilling
CAGRh_59	Rhizosphere	AC	NoTill	Grainfilling
CAVBS_18	bulksoil	AC	NoTill	Vegetative
CAVBS_59	bulksoil	AC	NoTill	Vegetative
CAVRh_18	Rhizosphere	AC	NoTill	Vegetative
CAVRh_59	Rhizosphere	AC	NoTill	Vegetative
CPFBS_29	bulksoil	AT	Till	Flowering
CPFBS_51	bulksoil	AT	Till	Flowering
CPFRh_29	Rhizosphere	AT	Till	Flowering
CPFRh_51	Rhizosphere	AT	Till	Flowering
CPGBS_29	bulksoil	AT	Till	Grainfilling
CPGBS_51	bulksoil	AT	Till	Grainfilling
CPGRh_29	Rhizosphere	AT	Till	Grainfilling
CPGRh_51	Rhizosphere	AT	Till	Grainfilling
CPVBS_29	bulksoil	AT	Till	Vegetative
CPVBS_51	bulksoil	AT	Till	Vegetative
CPVRh_29	Rhizosphere	AT	Till	Vegetative
CPVRh_51	Rhizosphere	AT	Till	Vegetative
